Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
2022-01-01,King,WA,Personal,12000,3000,15000,500000,515000,2.91
2022-02-01,King,WA,Personal,12500,3100,15600,502000,517600,3.01
2022-03-01,King,WA,Personal,13000,3200,16200,504000,520200,3.11
2022-04-01,King,WA,Personal,13500,3300,16800,506000,522800,3.21
2022-05-01,King,WA,Personal,14000,3400,17400,508000,525400,3.31
2022-06-01,King,WA,Personal,14500,3500,18000,510000,528000,3.41
2022-07-01,King,WA,Personal,15000,3600,18600,512000,530600,3.51
2022-08-01,King,WA,Personal,15500,3700,19200,514000,533200,3.60
2022-09-01,King,WA,Personal,16000,3800,19800,516000,535800,3.70
2022-10-01,King,WA,Personal,16500,3900,20400,518000,538400,3.79
